# t (s)	mx ()	my ()	mz ()
1.87975835190452e-09	-5.4202974e-07	-6.0210004e-07	0.97490555
1.8904983079794237e-09	1.6532358e-05	4.7930516e-06	0.9749056
1.9001183630172984e-09	-3.821129e-06	4.9844384e-06	0.97490543
1.909926558504085e-09	1.173449e-05	8.289862e-06	0.97490543
1.920952644954249e-09	-9.305295e-06	6.435672e-06	0.9749053
1.9307490497413343e-09	5.3478434e-06	7.991912e-06	0.97490543
1.940544626149818e-09	-1.4357662e-05	4.0902523e-06	0.9749054
1.9503391918851707e-09	1.9457511e-06	4.029047e-06	0.9749054
1.960134062931947e-09	-1.6315098e-05	-4.1496241e-07	0.9749054
1.969929195580937e-09	1.7661368e-06	-9.139185e-07	0.97490543
1.980946015472168e-09	-1.4167206e-05	-5.2162213e-06	0.97490543
1.9907223868909064e-09	4.3842447e-06	-4.28746e-06	0.9749055
2.0004977952332944e-09	-1.0706004e-05	-7.128343e-06	0.9749055
2.0102737892680974e-09	8.500589e-06	-5.033915e-06	0.9749055
2.020050617230709e-09	-6.9628586e-06	-6.2244944e-06	0.97490543
2.029827565502413e-09	1.16336305e-05	-3.2427197e-06	0.97490543
2.04082639567319e-09	-4.252317e-06	-3.4265686e-06	0.97490543
2.050602898701266e-09	1.2450706e-05	4.3099863e-07	0.9749054
2.0603790276025873e-09	-4.6352507e-06	-3.905734e-08	0.9749054
2.07015518220806e-09	1.1279495e-05	3.171328e-06	0.97490543
2.079930077539086e-09	-6.7174697e-06	2.2810418e-06	0.9749054
2.090926565489991e-09	8.043513e-06	4.6610294e-06	0.9749054
2.1007012478066917e-09	-9.321433e-06	2.3492612e-06	0.9749055
2.110475784264255e-09	5.6873832e-06	3.818888e-06	0.97490543
2.1202505306250206e-09	-1.15282455e-05	9.842624e-07	0.9749054
2.130024542366207e-09	4.33228e-06	1.6582198e-06	0.97490543
2.1397990997849547e-09	-1.2090764e-05	-1.1620577e-06	0.97490543
2.1507959835985586e-09	4.2222673e-06	-5.426118e-07	0.9749054
2.160570297027117e-09	-1.0833712e-05	-3.4502227e-06	0.9749054
2.170345046778381e-09	5.9249433e-06	-2.0866282e-06	0.97490543
2.180119691388371e-09	-9.042793e-06	-4.109461e-06	0.9749054
2.189894703390703e-09	7.870709e-06	-2.3243483e-06	0.97490543
2.200891262413985e-09	-6.732618e-06	-3.674766e-06	0.97490543
2.2106665584617937e-09	9.096038e-06	-9.523137e-07	0.97490543
2.220441583732321e-09	-6.027316e-06	-2.0761508e-06	0.9749054
2.230216560697088e-09	9.527372e-06	5.674083e-07	0.97490543
2.2399916953097444e-09	-6.3044718e-06	-3.5588164e-07	0.9749054
2.2497674591779657e-09	8.737261e-06	1.7944258e-06	0.97490543
2.260764160815974e-09	-7.1777467e-06	4.8126094e-07	0.97490543
2.2705400113765627e-09	7.106879e-06	2.5273184e-06	0.97490543
2.2803145229047537e-09	-8.701594e-06	5.776528e-07	0.9749054
2.2900894146185852e-09	5.9261074e-06	1.937151e-06	0.9749055
2.2998646140229962e-09	-9.667056e-06	-1.253211e-07	0.97490543
2.310862252496249e-09	4.9220835e-06	9.629875e-07	0.97490543
2.3206375636910005e-09	-9.603595e-06	-1.5615369e-06	0.97490543
2.3304118594890894e-09	5.343347e-06	-2.5972258e-07	0.9749054
2.3401874930956525e-09	-9.111667e-06	-2.375491e-06	0.9749054
2.3499625173925316e-09	6.205708e-06	-1.0316726e-06	0.9749055
2.3609596810570313e-09	-7.651062e-06	-2.849847e-06	0.97490543
2.3707347934419843e-09	6.947055e-06	-7.94651e-07	0.97490543
2.3805101930701788e-09	-6.990478e-06	-2.3595348e-06	0.9749055
2.3902851895220206e-09	7.72957e-06	-2.6781345e-07	0.97490543
2.400060295041474e-09	-6.661401e-06	-1.4520483e-06	0.97490543
2.4098361061316496e-09	7.803028e-06	4.5110937e-07	0.97490543
2.4208332154443707e-09	-6.5397326e-06	-7.8685116e-07	0.9749054
2.430608904852132e-09	7.1051472e-06	1.3178214e-06	0.97490543
2.4403841021525418e-09	-7.324561e-06	-2.614688e-07	0.9749054
2.450159487777083e-09	6.4864e-06	1.3841782e-06	0.97490543
2.4599352958068182e-09	-8.039278e-06	-2.1513551e-07	0.97490543
2.4709322346803207e-09	5.4587144e-06	1.2196833e-06	0.9749054
2.4807073834197964e-09	-8.242772e-06	-8.910429e-07	0.9749054
2.490482640448022e-09	5.410722e-06	5.431066e-07	0.97490543
2.5002578057834284e-09	-8.382369e-06	-1.388602e-06	0.97490543
2.5100332292304528e-09	5.6350545e-06	-1.2293458e-07	0.97490543
2.5198084794771247e-09	-8.018949e-06	-1.7127022e-06	0.9749054
2.53080576716075e-09	5.8091537e-06	-2.5396002e-07	0.9749054
2.5405809265021643e-09	-7.2852126e-06	-1.9978033e-06	0.97490543
2.5503560560694413e-09	6.445698e-06	-2.6857015e-07	0.9749054
2.5601312050941574e-09	-6.9456873e-06	-1.6537379e-06	0.9749054
