# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-08	-0.000177859	0.0011846388	0.7965297	0	0	0.19999991
2e-08	0.0017630594	0.00079374295	0.7983996	0	0	0.19499996
3.0000000000000004e-08	0.0030893944	-0.0024922546	0.79521066	0	0	0.18999994
4e-08	-0.0031200594	0.0050430484	0.7939905	0	0	0.18500006
5e-08	-0.0008465669	-0.0032282658	0.79375714	0	0	0.18000002
6e-08	0.0045116283	-0.0020008595	0.79151165	0	0	0.17500007
6.999999999999999e-08	0.0034107037	0.0036452345	0.7883832	0	0	0.17000006
7.999999999999999e-08	-0.0067851976	0.003907142	0.78812563	0	0	0.16499998
8.999999999999999e-08	0.0039738105	-6.1787374e-05	0.7861477	0	0	0.15999994
9.999999999999998e-08	0.0037384795	0.0034599393	0.78062403	0	0	0.15500008
1.0999999999999998e-07	0.0026969335	-0.0031427636	0.7720913	0	0	0.15000005
1.2e-07	0.0052929795	-0.0021541384	0.7437344	0	0	0.145
1.3e-07	-0.00068717386	0.0011405663	0.6901555	0	0	0.13999996
1.4e-07	0.0016021946	-0.0048419433	0.6647509	0	0	0.1350001
1.5000000000000002e-07	-0.004064673	0.00088912103	0.63485307	0	0	0.1300001
1.6000000000000003e-07	-0.0030844607	0.0033369218	0.59145844	0	0	0.125
1.7000000000000004e-07	0.0016881862	0.005439058	0.517742	0	0	0.1199999
1.8000000000000005e-07	-0.0061102095	0.0012352705	0.48418775	0	0	0.11499991
1.9000000000000006e-07	-0.004385836	0.0061051375	0.459426	0	0	0.11000001
2.0000000000000007e-07	0.0021711313	0.0010510875	0.44160992	0	0	0.10500001
2.1000000000000008e-07	0.0031522375	-0.004902149	0.40378404	0	0	0.09999996
2.200000000000001e-07	-0.005469714	-0.007721366	0.3867977	0	0	0.09499997
2.300000000000001e-07	0.000397802	-0.0009331529	0.36936277	0	0	0.09000001
2.400000000000001e-07	-0.0009110854	0.00016846096	0.34079626	0	0	0.08500003
2.500000000000001e-07	0.0025279387	0.000994305	0.3250212	0	0	0.07999997
2.600000000000001e-07	-0.00058165385	-0.0003231205	0.29740214	0	0	0.075000025
2.700000000000001e-07	-0.0032217365	-5.698257e-05	0.2829129	0	0	0.06999998
2.800000000000001e-07	-0.004661038	-0.003639434	0.25182185	0	0	0.06500005
2.9000000000000014e-07	0.000605022	-0.0016787717	0.24310528	0	0	0.05999995
3.0000000000000015e-07	0.0006245864	0.0048285876	0.21412121	0	0	0.055000003
3.1000000000000016e-07	0.0016399731	0.0006636006	0.2047066	0	0	0.04999998
3.2000000000000017e-07	-0.0046294457	-0.006553537	0.17736317	0	0	0.045000006
3.300000000000002e-07	0.0007039046	-0.0009038583	0.16013613	0	0	0.039999984
3.400000000000002e-07	0.0072265565	0.002188526	0.14312272	0	0	0.03499999
3.500000000000002e-07	0.0012598705	0.0035530834	0.12663113	0	0	0.029999975
3.600000000000002e-07	-0.006483675	-0.0030097668	0.10819496	0	0	0.02499999
3.700000000000002e-07	-0.0024214946	0.0020711261	0.095599286	0	0	0.019999992
3.800000000000002e-07	0.0072021983	-0.0011330771	0.077034116	0	0	0.014999988
3.9000000000000024e-07	-0.0024916627	0.0038404262	0.056196358	0	0	0.009999996
4.0000000000000025e-07	0.0003256151	0.0003183242	0.04530214	0	0	0.004999998
4.1000000000000026e-07	-0.0019478758	-0.0014250672	0.025123907	0	0	0
4.2000000000000027e-07	-0.001971423	0.0022220623	0.0073362705	0	0	-0.004999998
4.300000000000003e-07	-0.0014852145	0.0015030944	-0.016530054	0	0	-0.009999996
