# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-08	0.003600472	-0.0020277807	0.8835803	0	0	0.19999991
2e-08	0.0032673322	-0.00044919722	0.88470745	0	0	0.19499996
3.0000000000000004e-08	0.0005572797	-0.000360655	0.8833289	0	0	0.18999994
4e-08	-0.001070008	-0.0013559776	0.8836506	0	0	0.18500006
5e-08	-0.000112395	-0.0010729326	0.8833779	0	0	0.18000002
6e-08	0.0013835691	-0.00016804671	0.8833861	0	0	0.17500007
6.999999999999999e-08	-0.0007398608	-0.00033177296	0.8835648	0	0	0.17000006
7.999999999999999e-08	0.0010510789	0.0025717916	0.8830337	0	0	0.16499998
8.999999999999999e-08	0.00046838258	0.0033287986	0.88271344	0	0	0.15999994
9.999999999999998e-08	-0.00030790752	-0.0020747683	0.8822762	0	0	0.15500008
1.0999999999999998e-07	0.0016198943	0.00037207265	0.8820731	0	0	0.15000005
1.2e-07	0.0026292591	0.0013842055	0.88203037	0	0	0.145
1.3e-07	0.002314306	0.0004498081	0.8810914	0	0	0.13999996
1.4e-07	0.0012320634	-0.000616713	0.8816813	0	0	0.1350001
1.5000000000000002e-07	-0.0010877808	0.0019503402	0.8809167	0	0	0.1300001
1.6000000000000003e-07	4.569258e-05	-0.0008151255	0.8814856	0	0	0.125
1.7000000000000004e-07	-0.0027695044	0.004623942	0.88078743	0	0	0.1199999
1.8000000000000005e-07	0.00065950106	-0.0014506785	0.88081497	0	0	0.11499991
1.9000000000000006e-07	0.0025805659	0.0019774113	0.88070816	0	0	0.11000001
2.0000000000000007e-07	-0.0029304125	0.0026272838	0.8801077	0	0	0.10500001
2.1000000000000008e-07	-0.0010839539	-0.0035057236	0.88045394	0	0	0.09999996
2.200000000000001e-07	0.0005392539	-0.00069800764	0.88069427	0	0	0.09499997
2.300000000000001e-07	0.003165243	-0.00036265343	0.87996775	0	0	0.09000001
2.400000000000001e-07	-0.00019581486	0.0004747732	0.879632	0	0	0.08500003
2.500000000000001e-07	0.0013113361	0.0002855127	0.87975353	0	0	0.07999997
2.600000000000001e-07	-0.0018544969	-0.0009391724	0.879751	0	0	0.075000025
2.700000000000001e-07	0.0013930605	-0.0018867318	0.8793178	0	0	0.06999998
2.800000000000001e-07	0.0016312493	-0.0034068115	0.8785282	0	0	0.06500005
2.9000000000000014e-07	-0.0017363227	-0.0010703417	0.8785753	0	0	0.05999995
3.0000000000000015e-07	-0.0010669408	-0.0022457936	0.87827253	0	0	0.055000003
3.1000000000000016e-07	0.001754754	0.0015184969	0.8788905	0	0	0.04999998
3.2000000000000017e-07	0.00035945073	-0.00038449425	0.8781338	0	0	0.045000006
3.300000000000002e-07	0.0014066932	0.0005049556	0.8784408	0	0	0.039999984
3.400000000000002e-07	0.0022062093	0.0049915845	0.8785815	0	0	0.03499999
3.500000000000002e-07	0.0012810696	0.000832006	0.8778783	0	0	0.029999975
3.600000000000002e-07	-0.004456841	0.0001690477	0.87697786	0	0	0.02499999
3.700000000000002e-07	0.0012052079	-0.003343358	0.8764095	0	0	0.019999992
3.800000000000002e-07	0.0043127667	-0.00025282582	0.876906	0	0	0.014999988
3.9000000000000024e-07	0.00041425714	0.003280815	0.87618077	0	0	0.009999996
4.0000000000000025e-07	0.0013831959	0.0007384218	0.87632746	0	0	0.004999998
4.1000000000000026e-07	0.002067726	0.0018493544	0.8750008	0	0	0
4.2000000000000027e-07	0.00041878776	0.0025653096	0.8763605	0	0	-0.004999998
4.300000000000003e-07	0.00053840847	-0.0017941067	0.87518024	0	0	-0.009999996
4.400000000000003e-07	0.00014679493	0.0008785119	0.8751939	0	0	-0.014999988
4.500000000000003e-07	-0.0020228254	0.0038186926	0.87576634	0	0	-0.019999992
4.600000000000003e-07	-0.0010368568	-0.0030119438	0.8755017	0	0	-0.02499999
4.700000000000003e-07	0.0014984208	0.00041156635	0.8749198	0	0	-0.029999975
4.800000000000003e-07	-0.0035438023	-0.0012392234	0.8748811	0	0	-0.03499999
4.900000000000003e-07	-0.00023831528	0.0014058374	0.8743969	0	0	-0.039999984
5.000000000000003e-07	-0.0012825904	0.0022539038	0.87428564	0	0	-0.045000006
5.100000000000003e-07	-0.0013822267	-0.0042713103	0.87382805	0	0	-0.04999998
5.200000000000003e-07	-0.000905271	0.0006094407	0.87426656	0	0	-0.055000003
5.300000000000003e-07	0.0016501473	0.00051362946	0.87346786	0	0	-0.05999995
5.400000000000003e-07	-0.0008388457	-0.004132017	0.87309843	0	0	-0.06500005
5.500000000000003e-07	9.279132e-06	0.001646566	0.8732485	0	0	-0.06999998
5.600000000000004e-07	-0.00022662485	0.0029074142	0.87370014	0	0	-0.075000025
5.700000000000004e-07	-0.0020246739	0.0002557432	0.87182766	0	0	-0.07999997
