# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-08	0.00086375617	-0.0019948108	0.81461334	0	0	0.19999991
2e-08	3.1784242e-05	-0.0015734397	0.814643	0	0	0.19499996
3.0000000000000004e-08	-0.0026367328	-0.0039349897	0.8137385	0	0	0.18999994
4e-08	0.00074626383	-0.0038930292	0.8131577	0	0	0.18500006
5e-08	0.00053865224	0.0017066108	0.81116307	0	0	0.18000002
6e-08	0.0044010393	0.0016483777	0.8116146	0	0	0.17500007
6.999999999999999e-08	-0.00047199707	0.0014929154	0.8111396	0	0	0.17000006
7.999999999999999e-08	0.0038919894	0.0026944254	0.8099734	0	0	0.16499998
8.999999999999999e-08	0.000126007	-0.003584837	0.8100289	0	0	0.15999994
9.999999999999998e-08	0.0026192402	0.0060547665	0.80913657	0	0	0.15500008
1.0999999999999998e-07	-0.0022611674	0.0024988258	0.80887645	0	0	0.15000005
1.2e-07	0.00530827	-0.0030347332	0.8072276	0	0	0.145
1.3e-07	0.0037236337	-0.0024283675	0.80663127	0	0	0.13999996
1.4e-07	0.00033821273	-0.0006436099	0.8065872	0	0	0.1350001
1.5000000000000002e-07	0.0002851779	-0.001231937	0.8043903	0	0	0.1300001
1.6000000000000003e-07	0.004748028	-0.0039376374	0.8046731	0	0	0.125
1.7000000000000004e-07	0.00053973356	-0.0020717273	0.8044943	0	0	0.1199999
1.8000000000000005e-07	-0.0006213603	-0.00084438873	0.8039624	0	0	0.11499991
1.9000000000000006e-07	0.003195355	0.007838943	0.80166525	0	0	0.11000001
2.0000000000000007e-07	0.0022852868	0.00137976	0.8019949	0	0	0.10500001
2.1000000000000008e-07	-0.0020873693	-0.002336644	0.7998295	0	0	0.09999996
2.200000000000001e-07	0.001907045	-0.003640008	0.799619	0	0	0.09499997
2.300000000000001e-07	-0.00045600557	-0.0011603405	0.79815644	0	0	0.09000001
2.400000000000001e-07	-0.0025059644	-0.0007460815	0.7970711	0	0	0.08500003
2.500000000000001e-07	-0.0022688801	0.0033505708	0.7950214	0	0	0.07999997
2.600000000000001e-07	0.0041021714	0.005962823	0.7919108	0	0	0.075000025
2.700000000000001e-07	-0.00042258078	-0.0045342455	0.7649769	0	0	0.06999998
2.800000000000001e-07	-0.0014189857	-0.00075292494	0.35109976	0	0	0.06500005
2.9000000000000014e-07	0.0018413235	0.0013904516	0.32776237	0	0	0.05999995
3.0000000000000015e-07	-0.00049290055	0.0038488668	0.30124804	0	0	0.055000003
3.1000000000000016e-07	8.9419314e-05	0.003382704	0.2635667	0	0	0.04999998
3.2000000000000017e-07	-0.0019071448	0.0002464427	0.24000327	0	0	0.045000006
3.300000000000002e-07	-0.0030975011	0.0011051433	0.20923387	0	0	0.039999984
3.400000000000002e-07	-0.0020237726	0.0064386963	0.1894478	0	0	0.03499999
3.500000000000002e-07	-0.0013187943	-0.0008457029	0.16376252	0	0	0.029999975
3.600000000000002e-07	-0.0006819908	0.0032279626	0.1420157	0	0	0.02499999
3.700000000000002e-07	-0.0036963262	-0.0056747	0.116187654	0	0	0.019999992
3.800000000000002e-07	0.0056964085	-0.0019522522	0.085629426	0	0	0.014999988
3.9000000000000024e-07	0.004512857	0.0021651946	0.053536814	0	0	0.009999996
4.0000000000000025e-07	-0.0022840837	-0.00077868946	0.037689682	0	0	0.004999998
4.1000000000000026e-07	0.0006034514	-0.0028033268	0.005974061	0	0	0
4.2000000000000027e-07	0.0014606041	0.00020695478	-0.022608133	0	0	-0.004999998
4.300000000000003e-07	0.00020153601	-0.0028512082	-0.043998122	0	0	-0.009999996
4.400000000000003e-07	0.0030892002	2.5646495e-05	-0.06716855	0	0	-0.014999988
4.500000000000003e-07	-0.0011044875	-0.006805502	-0.09120209	0	0	-0.019999992
4.600000000000003e-07	0.0068870676	0.0028041047	-0.11042953	0	0	-0.02499999
4.700000000000003e-07	0.00020350397	-0.00038152188	-0.1405686	0	0	-0.029999975
4.800000000000003e-07	0.0008963955	-0.00031291269	-0.16787033	0	0	-0.03499999
4.900000000000003e-07	0.005629538	-0.00323615	-0.19412127	0	0	-0.039999984
5.000000000000003e-07	-0.0008173943	0.0030817464	-0.21930239	0	0	-0.045000006
5.100000000000003e-07	-0.0035830203	0.0046123997	-0.25690868	0	0	-0.04999998
5.200000000000003e-07	0.005504185	-0.0041831536	-0.27262267	0	0	-0.055000003
5.300000000000003e-07	-0.0004975671	-0.0010293826	-0.31158462	0	0	-0.05999995
5.400000000000003e-07	0.0015567933	-0.0023878776	-0.33480117	0	0	-0.06500005
5.500000000000003e-07	0.0043741525	-0.0018749824	-0.37482002	0	0	-0.06999998
5.600000000000004e-07	0.0011462342	0.001857305	-0.4026061	0	0	-0.075000025
