# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-08	-0.005259876	-0.0058943946	0.8177954	0	0	0.20000002
2e-08	-0.008100422	-0.007191551	0.811962	0	0	0.195
3.0000000000000004e-08	-0.004461595	-0.012087521	0.8098651	0	0	0.19
4e-08	0.0075560403	-0.006922584	0.813786	0	0	0.185
5e-08	-0.003094505	0.0034112146	0.8135133	0	0	0.18
6e-08	-0.0058304057	0.005282648	0.8114074	0	0	0.17499998
6.999999999999999e-08	0.011770466	-0.00860309	0.8073989	0	0	0.16999999
7.999999999999999e-08	-0.005298799	-0.0019983635	0.81061196	0	0	0.165
8.999999999999999e-08	0.0067445575	-0.0026451019	0.811024	0	0	0.15999998
9.999999999999998e-08	0.006287966	-4.4666464e-05	0.80674595	0	0	0.15499999
1.0999999999999998e-07	-0.003565362	0.0019427573	0.80259097	0	0	0.14999999
1.2e-07	-0.0044521727	0.00588209	0.80500245	0	0	0.145
1.3e-07	0.0063058985	0.01798539	0.8078472	0	0	0.14
1.4e-07	0.0044367216	-0.010433727	0.8111937	0	0	0.135
1.5000000000000002e-07	0.013059031	0.010636763	0.8041861	0	0	0.13
1.6000000000000003e-07	-0.0077035837	0.010986159	0.8067428	0	0	0.125
1.7000000000000004e-07	-0.0024668148	0.00248881	0.802638	0	0	0.12
1.8000000000000005e-07	0.006613694	0.0060515823	0.8031034	0	0	0.115
1.9000000000000006e-07	0.0020888234	0.01414104	0.8012661	0	0	0.11000001
2.0000000000000007e-07	0.014429623	-0.010672338	0.79704636	0	0	0.105000004
2.1000000000000008e-07	0.017976873	-0.0065955026	0.8039186	0	0	0.10000001
2.200000000000001e-07	-0.008385031	0.026647998	0.7987637	0	0	0.095
2.300000000000001e-07	-0.013550714	0.001084751	0.7996551	0	0	0.09
2.400000000000001e-07	-0.0052337307	0.0065922933	0.7995262	0	0	0.08499999
2.500000000000001e-07	0.015968777	-0.0034937903	0.78273153	0	0	0.07999999
2.600000000000001e-07	-0.0003863814	-0.0024994765	0.78674	0	0	0.074999996
2.700000000000001e-07	0.007797993	-0.00871926	0.79333097	0	0	0.07
2.800000000000001e-07	0.015150432	0.005570448	0.7726224	0	0	0.065
2.9000000000000014e-07	0.018451327	0.007220902	0.76967967	0	0	0.06
3.0000000000000015e-07	0.012044541	-0.023928454	0.718546	0	0	0.055000003
3.1000000000000016e-07	0.008863507	0.009449508	0.7097899	0	0	0.050000004
3.2000000000000017e-07	-0.011580192	-0.016398057	0.6437711	0	0	0.045
3.300000000000002e-07	0.016262768	-0.006854936	0.5774995	0	0	0.039999995
3.400000000000002e-07	0.003788911	0.0056718113	0.44770014	0	0	0.035
3.500000000000002e-07	0.006944499	0.0031039268	0.40229157	0	0	0.03
3.600000000000002e-07	0.00066596665	0.0050649866	0.31197828	0	0	0.025000002
3.700000000000002e-07	-0.013424771	0.004796936	0.27899885	0	0	0.019999998
3.800000000000002e-07	0.0049344786	0.0046028607	0.23659688	0	0	0.015
3.9000000000000024e-07	-0.008385354	-0.005623247	0.1076832	0	0	0.009999999
4.0000000000000025e-07	0.013159677	-0.008596272	0.10727675	0	0	0.0049999994
4.1000000000000026e-07	-0.0029782725	0.0011912487	0.0068016653	0	0	0
4.2000000000000027e-07	-0.00023233099	-0.0037863725	-0.08629709	0	0	-0.0049999994
